emp_no,birth_date,first_name,last_name,gender,hire_date,dept_no,emp_no,from_date,to_date,dep_no,dep_name,emp_no,dept_no,from_date,to_date,emp_no,salary,from_date,to_date,emp_no,title,from_date,to_date
10001,1/15/1980,John,Smith,M,7/15/2001,d001,10001,7/15/2001,2/28/2005,d001,HR,10001,d001,7/15/2001,1/1/9999,10001,60000,7/15/2001,1/1/2003,10001,Manager,7/15/2001,2/28/2005
10002,3/25/1982,Emily,Johnson,F,2/28/2005,d002,10002,2/28/2005,9/15/2007,d002,Finance,10002,d002,2/28/2005,1/1/9999,10001,65000,1/1/2003,2/28/2005,10001,Senior Manager,2/28/2005,1/1/9999
10003,12/10/1975,Michael,Williams,M,11/10/2003,d003,10003,11/10/2003,1/1/9999,d003,Marketing,10003,d003,11/10/2003,12/31/2010,10001,70000,2/28/2005,1/1/9999,10002,Analyst,2/28/2005,1/1/2007
10004,5/20/1988,Jessica,Brown,F,9/15/2007,d004,10004,9/15/2007,12/31/2010,d004,Engineering,10004,d004,9/15/2007,1/1/9999,10002,55000,2/28/2005,1/1/2007,10002,Senior Analyst,1/1/2007,1/1/9999
10005,8/30/1984,David,Jones,M,4/20/2002,d005,10005,4/20/2002,1/1/9999,d005,Sales,10005,d005,4/20/2002,1/1/9999,10002,60000,1/1/2007,1/1/9999,10003,Coordinator,11/10/2003,1/1/2006
10006,6/12/1981,Sarah,Anderson,F,3/18/2004,d001,10006,3/18/2004,1/1/9999,d006,IT,10006,d001,3/18/2004,1/1/9999,10003,62000,11/10/2003,1/1/2006,10003,Manager,1/1/2006,12/31/2010
10007,10/5/1979,Christopher,Davis,M,8/22/2006,d002,10007,8/22/2006,1/1/9999,d007,Operations,10007,d002,8/22/2006,1/1/9999,10003,65000,1/1/2006,12/31/2010,10004,Engineer,9/15/2007,1/1/9999
10008,9/17/1983,Anna,Miller,F,11/30/2008,d003,10008,11/30/2008,1/1/9999,d008,Research,10008,d003,11/30/2008,1/1/9999,10004,70000,9/15/2007,1/1/9999,10005,Sales Associate,4/20/2002,1/1/9999
10009,2/28/1986,Ryan,Moore,M,5/14/2010,d004,10009,5/14/2010,1/1/9999,d009,Quality Assurance,10009,d004,5/14/2010,1/1/9999,10005,58000,4/20/2002,1/1/2004,10006,Analyst,3/18/2004,1/1/9999
10010,7/19/1989,Amanda,Wilson,F,3/26/2009,d005,10010,3/26/2009,1/1/9999,d010,Customer Service,10010,d005,3/26/2009,1/1/9999,10005,62000,1/1/2004,1/1/9999,10007,Manager,8/22/2006,1/1/9999
,,,,,,,,,,,,,,,,10006,63000,3/18/2004,1/1/9999,10008,Coordinator,11/30/2008,1/1/9999
,,,,,,,,,,,,,,,,10007,60000,8/22/2006,1/1/9999,10009,Engineer,5/14/2010,1/1/9999
,,,,,,,,,,,,,,,,10008,64000,11/30/2008,1/1/9999,10010,Sales Associate,3/26/2009,1/1/9999
,,,,,,,,,,,,,,,,10009,67000,5/14/2010,1/1/9999,,,,
,,,,,,,,,,,,,,,,10010,59000,3/26/2009,1/1/9999,,,,
